gatewayFid,MIDActual,vampMid,mastercardMid,gateway,brand,currency,RDR Merchant Name,DBA,BIN,CAID,IsActive,isCrossBorder,processWallet,Duplicate ?
adyen-aud-tav,Adyen - Total AV - AUD,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,AUD,TOTALAV.COM - 479338 - 479338002167730,TOTALAV.COM,479338,4.79E+14,TRUE,FALSE,TRUE,1
adyen-aud-tav-emea,Adyen - Total AV - AUD,Adyen_TotalAV,Adyen_TotalAV_EMEA,Adyen,Total AV,AUD,TOTALAV.COM - 487530 - 487530001594241,TOTALAV.COM,487530,4.88E+14,FALSE,TRUE,TRUE,1
adyen-cad-tav,Adyen - Total AV - CAD,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,CAD,TOTALAV.COM - 479338 - 479338002167730,TOTALAV.COM,479338,4.79E+14,TRUE,FALSE,TRUE,1
adyen-cad-tav-emea,Adyen - Total AV - CAD,Adyen_TotalAV,Adyen_TotalAV_EMEA,Adyen,Total AV,CAD,TOTALAV.COM - 487530 - 487530001594241,TOTALAV.COM,487530,4.88E+14,FALSE,TRUE,TRUE,1
adyen-eur-tav,Adyen - Total AV - EUR,Adyen_TotalAV,Adyen_TotalAV_EMEA,Adyen,Total AV,EUR,TOTALAV.COM - 487530 - 487530001594241,TOTALAV.COM,487530,4.88E+14,TRUE,FALSE,TRUE,1
adyen-eur-tav-test,Adyen EMEA - Total AV,Adyen_TotalAV,Adyen_TotalAV_EMEA,Adyen,Total AV,EUR,,,,,FALSE,FALSE,TRUE,1
adyen-eur-tav-us,Adyen - Total AV - EUR,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,EUR,TOTALAV.COM - 479338 - 479338002167730,TOTALAV.COM,479338,4.79E+14,FALSE,FALSE,TRUE,1
adyen-eur-tav-us-gp,Adyen - Total AV - EUR,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,EUR,TOTALAV.COM - 479338 - 479338002167730,TOTALAV.COM,479338,4.79E+14,FALSE,FALSE,TRUE,1
adyen-eur-tav-us-am,Adyen USA - Total AV,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,EUR,,,,,FALSE,FALSE,TRUE,1
adyen-gbp-tav,Adyen - Total AV - GBP,Adyen_TotalAV,Adyen_TotalAV_EMEA,Adyen,Total AV,GBP,TOTALAV.COM - 487530 - 487530001594241,TOTALAV.COM,487530,4.88E+14,TRUE,FALSE,TRUE,1
adyen-gbp-tav-prem,Adyen EMEA - Total AV Premium,Adyen_TotalAVPremium,Adyen_TotalAVPremium_EMEA,Adyen,Total AV,GBP,,,,,TRUE,FALSE,TRUE,1
adyen-gbp-tav-pro,Adyen - Total AV - GBP,Adyen_TotalAVPro,Adyen_TotalAVPro_EMEA,Adyen,Total AV,GBP,,,,,TRUE,FALSE,TRUE,1
adyen-gbp-tav-test,Adyen EMEA - Total AV,Adyen_TotalAV,Adyen_TotalAV_EMEA,Adyen,Total AV,GBP,,,,,FALSE,FALSE,TRUE,1
adyen-gbp-tav-ultimate,Adyen EMEA - Total AV Ultimate,Adyen_TotalAVUltimate,Adyen_TotalAVUltimate_EMEA,Adyen,Total AV,GBP,,,,,TRUE,FALSE,TRUE,1
adyen-gbp-tav-us,Adyen - Total AV - GBP,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,GBP,TOTALAV.COM - 479338 - 479338002167730,TOTALAV.COM,479338,4.79E+14,FALSE,FALSE,TRUE,1
adyen-gbp-tav-us-gp,Adyen - Total AV - GBP,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,GBP,TOTALAV.COM - 479338 - 479338002167730,TOTALAV.COM,479338,4.79E+14,FALSE,FALSE,TRUE,1
adyen-gbp-tav-us-am,Adyen USA - Total AV,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,GBP,,,,,FALSE,FALSE,TRUE,1
adyen-usd-tav,Adyen - Total AV - USD,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,USD,TOTALAV.COM - 479338 - 479338002167730,TOTALAV.COM,479338,4.79E+14,TRUE,FALSE,TRUE,1
adyen-usd-tav-emea,Adyen - Total AV - USD,Adyen_TotalAV,Adyen_TotalAV_EMEA,Adyen,Total AV,USD,TOTALAV.COM - 487530 - 487530001594241,TOTALAV.COM,487530,4.88E+14,FALSE,TRUE,TRUE,1
adyen-usd-tav-prem,Adyen USA - Total AV Premium,Adyen_TotalAVPremium,Adyen_TotalAVPremium_US,Adyen,Total AV,USD,,,,,TRUE,FALSE,TRUE,1
adyen-usd-tav-pro,Adyen USA - Total AV Pro,Adyen_TotalAVPro,Adyen_TotalAVPro_US,Adyen,Total AV,USD,,,479338,4.79E+14,TRUE,FALSE,TRUE,1
adyen-usd-tav-test,Adyen USA - Total AV,Adyen_TotalAV,Adyen_TotalAV_US,Adyen,Total AV,USD,,,,,FALSE,FALSE,TRUE,1
adyen-usd-tav-ultimate,Adyen USA - Total AV Ultimate,Adyen_TotalAVUltimate,Adyen_TotalAVUltimate_US,Adyen,Total AV,USD,,,479338,4.79E+14,TRUE,FALSE,TRUE,1
adyen-usd-tcl-x-tav,Adyen - Total AV - USD,Adyen_TotalCleaner,Adyen_TotalCleaner_US,Adyen,Total AV,USD,,,,,FALSE,FALSE,TRUE,1
adyen-gbp-tsc-x-tav,Adyen - Total AV - GBP,Adyen_TotalSecurity,Adyen_TotalSecurity_EMEA,Adyen,Total AV,GBP,www.totalsecurity.co - 487530 - 487530005335658,www.totalsecurity.co ,487530,4.88E+14,FALSE,FALSE,TRUE,1
adyen-usd-tsc,Adyen - Total AV - USD,Adyen_TotalSecurity,Adyen_TotalSecurity_US,Adyen,Total AV,USD,www.totalsecurity.co - 479338 - 479338002117479,www.totalsecurity.co,479338,4.79E+14,FALSE,FALSE,TRUE,1
adyen-usd-tsc-x-tav,Adyen - Total AV - USD,Adyen_TotalSecurity,Adyen_TotalSecurity_US,Adyen,Total AV,USD,www.totalsecurity.co - 479338 - 479338002117479,www.totalsecurity.co,479338,4.79E+14,TRUE,FALSE,TRUE,1
authorize-usd-tav,Authorize - Total AV - USD,Authorize - Total AV,Authorize - Total AV,Authorize,Total AV,USD,,,469216,6.85E+14,TRUE,FALSE,FALSE,1
bancard-gbp-tav,Bancard - Total AV - GBP,Bancard - Total AV,Bancard - Total AV,Bancard,Total AV,GBP,,,,,FALSE,FALSE,FALSE,1
bancard-usd-tav,Bancard - Total AV - USD,Bancard - Total AV,Bancard - Total AV,Bancard,Total AV,USD,TotalSec*SpeedyClean - 403481 - A0000000000GSBK,TotalSec*SpeedyClean,403481,A0000000000GSBK,FALSE,FALSE,FALSE,1
braintree-aud-tav,Braintree - Total AV - AUD,Braintree USA - Total AV,Braintree USA - Total AV,Braintree,Total AV,AUD,TOTALAV.COM - 411641 - 526448900880,TOTALAV.COM,411641,5.26E+11,TRUE,FALSE,TRUE,1
braintree-aud-totalavaud,Braintree - Total AV - AUD,Braintree USA - Total AV,Braintree USA - Total AV,Braintree,Total AV,AUD,,,,,FALSE,FALSE,TRUE,1
braintree-cad-tav,Braintree - Total AV - CAD,Braintree USA - Total AV,Braintree USA - Total AV,Braintree,Total AV,CAD,TOTALAV.COM - 411641 - 526412311882,TOTALAV.COM,411641,5.26E+11,TRUE,FALSE,TRUE,1
braintree-eur-tav,Braintree - Total AV - EUR,Braintree EU - Total AV,Braintree EU - Total AV,Braintree,Total AV,EUR,TOTALAV - 465737 - 020154324,TOTALAV,465737,20154324,TRUE,FALSE,TRUE,1
braintree-eur-totalaveur,Braintree - Total AV - EUR,Braintree EU - Total AV,Braintree EU - Total AV,Braintree,Total AV,EUR,,,,,FALSE,FALSE,TRUE,1
braintree-gbp-tav,Braintree - Total AV - GBP,Braintree EU - Total AV,Braintree EU - Total AV,Braintree,Total AV,GBP,TOTALAV - 465737 - 020154324,TOTALAV,465737,20154324,TRUE,FALSE,TRUE,1
braintree-gbp-totalavgbp,Braintree - Total AV - GBP,Braintree EU - Total AV,Braintree EU - Total AV,Braintree,Total AV,GBP,,ProtectedNet,,,FALSE,FALSE,TRUE,1
braintree-usd-tav,Braintree - Total AV - USD,Braintree USA - Total AV,Braintree USA - Total AV,Braintree,Total AV,USD,TOTALAV.COM - 411641 - 526448392880,TOTALAV.COM,411641,5.26E+11,TRUE,FALSE,TRUE,1
braintree-usd-tav-gp,Braintree - Total AV - USD,Braintree USA - Total AV,Braintree USA - Total AV,Braintree,Total AV,USD,TOTALAV.COM - 411641 - 526448392880,TOTALAV.COM,411641,5.26E+11,FALSE,FALSE,TRUE,1
cwams-usd-tav,Cardworks - Total AV - USD,Cardworks - Total AV,Cardworks - Total AV,Cardworks,Total AV,USD,TOTALAV.COM - 411859 - 419100090647000,TOTALAV.COM,411859,4.19E+14,FALSE,FALSE,FALSE,1
cwams-usd-tav-monthly,Cardworks - Total AV - USD,Cardworks - Total AV,Cardworks - Total AV,Cardworks,Total AV,USD,,,,,FALSE,FALSE,FALSE,1
checkout-aud-tav,Checkout - Total AV - AUD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,AUD,,,,,FALSE,FALSE,TRUE,1
checkout-aud-tav-new,Checkout - Total AV - AUD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,AUD,totalav.com - 402121 - 000000000206184,totalav.com,402121,206184,FALSE,FALSE,TRUE,1
checkout-tav-aud-new,Checkout - Total AV - AUD,Checkout - Total AV,Checkout - Total AV,Checkout,Total AV,AUD,,ProtectedNet,,,FALSE,FALSE,TRUE,1
